URL,Statut HTTP,Indexable,Title,H1,Meta Description,Canonical,Schema.org,OG Tags,Sitemap,Notes
https://www.fabrik212.com/,200,OUI,"Fabrik212 — Agence Digitale Maroc | Sites Web, Apps & Croissance","Votre présence digitale, sans compromis.","Fabrik212 est une agence digitale marocaine spécialisée dans la création de sites web, d'applications, l'automatisation et le conseil en croissance.",https://fabrik212.ma/ (MORT),ABSENT,PRÉSENT (complet),NON,"CRITIQUE: canonical pointe vers domaine mort. H1 sans mot-clé. SPA mono-page."
https://www.fabrik212.com/agence-digitale-maroc.html,200,OUI,"Agence Digitale Maroc — Fabrik212 | Création Web, Apps & Croissance","Agence Digitale Maroc : Fabrik212, votre partenaire croissance","Fabrik212, agence digitale marocaine : création de sites web, applications, automatisation et conseil en croissance.",https://fabrik212.ma/agence-digitale-maroc (MORT),ABSENT,ABSENT,NON,"CRITIQUE: canonical mort. OG tags absents. Bon contenu (~1200 mots). FAQ sans schema."
https://www.fabrik212.com/sitemap.xml,404,N/A,,,,,,,,"MANQUANT — à créer"
https://www.fabrik212.com/robots.txt,404,N/A,,,,,,,,"MANQUANT — à créer"
https://fabrik212.ma/,Vide,NON,,,,,,,,"Domaine .ma mort — retourne page vide"
https://www.fabrik212.com/agence-marketing-maroc,404,N/A,,,,,,,,"À CRÉER — requête cible prioritaire"
https://www.fabrik212.com/agence-marketing-casablanca,404,N/A,,,,,,,,"À CRÉER — requête cible prioritaire"
https://www.fabrik212.com/creation-site-internet-maroc,404,N/A,,,,,,,,"À CRÉER — requête cible prioritaire"
https://www.fabrik212.com/creation-site-internet-casablanca,404,N/A,,,,,,,,"À CRÉER — requête cible prioritaire"
https://www.fabrik212.com/agence-web-maroc,404,N/A,,,,,,,,"À CRÉER — requête cible"
https://www.fabrik212.com/seo-maroc,404,N/A,,,,,,,,"À CRÉER — service SEO"
https://www.fabrik212.com/google-ads-maroc,404,N/A,,,,,,,,"À CRÉER — service Ads"
https://www.fabrik212.com/portfolio,404,N/A,,,,,,,,"À CRÉER — preuves sociales"
https://www.fabrik212.com/blog,404,N/A,,,,,,,,"À CRÉER — trafic longue traîne"
